No,In,Out,Type,On screen,Source line,Checked against,Notes / to confirm
1,00:00:00:00,00:00:04:00,location super,"Sunset over quiet street,
Old brick bldgs & storefront",,as recorded,
2,00:00:15:04,00:00:17:01,name super,Cafe Owner,,as recorded,Confirm the spelling of the name and title with the speaker.
3,00:00:15:04,00:00:17:01,data caption,"Federal minimum wage,
$7.25 an hour",Source: labour.gov.example,multiple sources,
4,00:00:15:04,00:00:17:01,data caption,"Business pays fed min wage
$7.25 an hour",,not backed,Their own figure — nobody publishes it. Attribute it to the speaker.
5,00:00:15:04,00:00:17:01,quote follow,We pay the federal minimum wage,,as recorded,
6,00:00:17:01,00:00:17:07,name super,Interviewer,,as recorded,Confirm the spelling of the name and title with the speaker.
7,00:00:17:01,00:00:17:07,quote follow,Mhm,,as recorded,
8,00:00:17:07,00:00:19:07,data caption,"Federal minimum wage
Unchanged since 2009",Source: labour.gov.example,multiple sources,
9,00:00:17:07,00:00:19:07,quote follow,Hasn't changed since 2009,,as recorded,
10,00:00:19:07,00:00:19:16,quote follow,mhm,,as recorded,
11,00:00:19:16,00:00:23:27,name super,Man in apron,,as recorded,Confirm the spelling of the name and title with the speaker.
12,00:00:19:16,00:00:23:27,data caption,"Over 150,000 convenience stores
in the country",,multiple sources,"Checked, but no primary source to credit (backed by retailcouncil.example, forecourt.example). Find the official release before adding a source line.／as of 31 December 2025"
13,00:00:19:16,00:00:23:27,quote follow,"Over 150,000 convenience
stores in this country",,as recorded,
14,00:00:23:27,00:00:25:25,data caption,"Nearly all convenience stores
sell coffee",,⚠ conflicts with published figures,Do not use this figure as spoken — it conflicts with published data.
15,00:00:23:27,00:00:25:25,quote follow,Nearly all of them sell coffee,,as recorded,
16,00:00:25:25,00:00:28:29,name super,Man,,as recorded,Confirm the spelling of the name and title with the speaker.
17,00:00:25:25,00:00:28:29,data caption,"Store sells 200 cups coffee
daily",,not backed,Their own figure — nobody publishes it. Attribute it to the speaker.
18,00:00:25:25,00:00:28:29,quote follow,We do about 200 cups a day,,as recorded,
19,00:00:28:29,00:00:29:10,quote follow,Yeah,,as recorded,
20,00:00:29:10,00:00:32:11,data caption,"10 years ago, sold ~300
coffee/day",,not backed,Their own figure — nobody publishes it. Attribute it to the speaker.
21,00:00:29:10,00:00:32:11,quote follow,"10 years ago, closer to 300",,as recorded,
22,00:00:32:11,00:00:32:20,quote follow,Yeah,,as recorded,
23,00:00:32:20,00:00:36:23,quote follow,"You can taste the difference,
when made by hand",,as recorded,
24,00:00:36:23,00:00:39:26,data caption,"Many shops on this street
have closed",,not backed,No named subject — cannot be checked. Attribute it to the speaker.
25,00:00:36:23,00:00:39:26,quote follow,"Many shops along this street
have closed down",,as recorded,
26,00:00:39:26,00:00:42:26,name super,Barista,,as recorded,Confirm the spelling of the name and title with the speaker.
27,00:00:39:26,00:00:42:26,data caption,"the barista's business
opened in 1978",,not backed,Their own figure — nobody publishes it. Attribute it to the speaker.
28,00:00:39:26,00:00:42:26,quote follow,my father opened in 1978,,as recorded,
29,00:00:42:26,00:00:46:03,data caption,22 years behind counter,,not backed,Their own figure — nobody publishes it. Attribute it to the speaker.
30,00:00:42:26,00:00:46:03,quote follow,"Behind this counter,
for 22 years",,as recorded,
31,00:00:46:03,00:00:53:00,data caption,"Small businesses employ
almost half of private workforce",Source: smallbiz.gov.example,multiple sources,current as of 31 December 2025
32,00:00:46:03,00:00:53:00,quote follow,"Small businesses employ almost
half of private workforce",,as recorded,
